latitude,longitude
40.676052,-73.790184
40.65778,-73.951096
40.718143,-73.993835
40.840534,-73.86661
40.74544,-73.9754
40.726524,-73.94639
40.667522,-73.78063
40.85821,-73.91679
40.666492,-73.76536
40.83772,-73.92763
40.68164,-73.98568
40.644047,-73.95747
40.698463,-73.960205
40.716652,-73.8259
40.67855,-73.81422
40.72089,-73.99576
40.681557,-73.966545
40.865726,-73.887344
40.523136,-74.21625
40.836994,-73.92585
40.616653,-73.97234
40.756207,-73.99136
40.757107,-73.997314
40.735798,-73.976105
40.625843,-73.95537
40.70912,-73.9685
40.65422,-73.92386
40.773663,-73.90239
40.74348,-73.921486
40.648376,-73.96579
40.839615,-73.90489
40.74443,-73.76506
40.6034,-73.97181
40.71307,-73.77527
40.704853,-73.791664
40.750015,-73.991356
40.72935,-73.910194
40.80396,-73.94828
40.64986,-74.01972
40.684624,-73.93838
40.534813,-74.194115
40.81821,-73.96144
40.578274,-73.95827
40.83223,-73.875244
40.67653,-73.75693
40.68841,-73.84794
40.696663,-73.98085
40.769333,-73.841736
40.756367,-73.96012
40.782055,-73.95373
40.724552,-73.72452
40.593327,-73.964645
40.615383,-74.01613
40.58493,-73.95269
40.74073,-73.981766
40.809563,-73.92923
40.661522,-74.00008
40.651363,-73.96345
40.666695,-73.767136
40.676327,-73.86547
40.85265,-73.84231
40.683548,-73.87251
40.672382,-73.78574
40.700054,-73.92459
40.75199,-73.931274
40.669273,-73.922554
40.570465,-74.10977
40.804134,-73.93684
40.749184,-73.758194
40.753475,-73.99254
40.702614,-73.96058
40.664192,-73.87759
40.76229,-73.75711
40.757534,-73.86658
40.640945,-73.94852
40.766617,-73.864975
40.68488,-73.92311
40.61834,-74.03199
40.613953,-73.93353
40.72402,-73.763535
40.742252,-74.00071
40.720634,-73.94082
40.667522,-73.78063
40.839615,-73.88443
40.615353,-73.89708
40.682537,-73.80716
40.76769,-73.9831
40.734783,-73.998726
40.71449,-74.01147
40.83265,-73.90616
40.726894,-73.898315
40.72773,-73.90674
40.641727,-73.907646
40.66612,-73.82225
40.854477,-73.854614
40.73271,-73.89128
40.516457,-74.196884
40.53111,-74.157234
40.770256,-73.91586
40.62237,-74.0017
40.719135,-73.78949
40.843525,-73.89667
40.76263,-73.789185
40.746788,-73.827156
40.681854,-73.98004
40.79069,-73.840866
40.76428,-73.97302
40.685486,-73.82669
40.754154,-73.9804
40.705765,-73.896576
40.7375,-73.93385
40.60226,-74.003075
40.697437,-73.95099
40.84999,-73.93866
40.740875,-73.89962
40.70115,-73.94013
40.64381,-73.983986
40.811073,-73.90619
40.655895,-74.00591
40.845924,-73.78601
40.696033,-73.98453
40.848118,-73.93089
40.701954,-73.958694
40.841187,-73.93215
40.615692,-73.99366
40.674885,-73.927765
40.833233,-73.8282
40.585026,-73.958275
40.691425,-73.82079
40.605286,-73.75185
40.72592,-73.72439
40.743824,-73.979515
40.75028,-73.98113
40.8938,-73.85715
40.8325,-73.9044
40.817173,-73.94606
40.745724,-73.97813
40.642483,-73.97425
40.843994,-73.89752
40.656944,-73.88082
40.742676,-73.839516
40.704544,-73.72988
40.864132,-73.89132
40.59287,-73.99607
40.733967,-73.87177
40.68358,-73.97617
40.66336,-73.982994
40.647728,-73.97634
40.77161,-73.99046
40.63604,-73.74029
40.702724,-73.95002
40.906006,-73.85041
40.856388,-73.90177
40.827854,-73.95118
40.65661,-73.93091
40.657864,-73.89227
40.764744,-73.974075
40.83997,-73.85741
40.68297,-73.82824
40.6204,-73.960495
40.66705,-73.77411
40.88078,-73.88347
40.609642,-73.89738
40.68573,-73.80567
40.681126,-73.96446
40.648224,-73.960655
40.697662,-73.98615
40.68725,-73.87198
40.75548,-73.74173
40.81608,-73.917694
40.6209,-74.01758
40.680454,-73.87611
40.814266,-73.912964
40.769222,-73.92221
40.58695,-74.16416
40.81655,-73.91955
40.67711,-73.78129
40.766685,-73.892136
40.758305,-73.85561
40.76733,-73.984314
40.78383,-73.97783
40.85543,-73.84388
40.6094,-74.09011
40.883633,-73.88517
40.75089,-73.75113
40.68064,-73.89672
40.721523,-73.94913
40.592484,-73.99494
40.619305,-74.16101
40.63834,-73.93188
40.72452,-73.992485
40.903683,-73.89742
40.745235,-73.937706
40.75048,-73.99472
40.7606,-73.96434
40.604664,-74.02189
40.68676,-73.78449
40.866062,-73.92251
40.836895,-73.8736
40.737335,-73.70833
40.79536,-73.96942
40.668022,-73.73711
40.677773,-73.93587
40.738953,-73.98012
40.765224,-73.9317
40.66496,-73.82226
40.70453,-73.817245
40.680447,-73.87128
40.680447,-73.95046
40.72709,-73.991554
40.82325,-73.88277
40.69245,-73.811005
40.71406,-73.95292
40.631527,-73.948044
40.757336,-73.98973
40.752644,-74.00428
40.86369,-73.91707
40.59758,-73.99594
40.79909,-73.93478
40.65072,-74.00303
40.603203,-73.937584
40.669735,-73.93104
40.63831,-73.953476
40.70785,-73.89725
40.691326,-73.95646
40.789253,-73.85182
40.798252,-73.95249
40.75462,-73.82167
40.674454,-73.802605
40.69924,-73.80632
40.67116,-73.917
40.694107,-73.89737
40.855972,-73.869896
40.691372,-73.80989
40.6707,-73.77366
40.806797,-73.92458
40.641415,-73.93122
40.709225,-73.843155
40.623493,-73.99778
40.844143,-73.88921
40.624702,-73.91776
40.73531,-73.91889
40.666695,-73.767136
40.68108,-73.84048
40.724308,-73.72474
40.848118,-73.93089
40.793377,-73.97086
40.643993,-73.94401
40.711845,-73.859764
40.677628,-73.894394
40.63438,-73.96574
40.677193,-74.0065
40.74935,-73.85807
40.61957,-73.93355
40.67259,-73.95152
40.787884,-73.84103
40.68541,-73.92658
40.711597,-73.85819
40.80777,-73.94549
40.595375,-73.98628
40.733803,-73.89063
40.85018,-73.91059
40.706356,-73.900276
40.884396,-73.87998
40.695858,-73.81891
40.681126,-73.96446
40.636265,-73.94802
40.54387,-74.14445
40.621216,-73.93539
40.541325,-74.20984
40.812725,-73.94931
40.815002,-73.88323
40.637447,-74.01997
40.75337,-73.974655
40.73781,-73.929245
40.66496,-73.82226
40.676495,-73.913704
40.832623,-73.92537
40.8892,-73.84223
40.852787,-73.89663
40.61982,-74.081505
40.671196,-73.84296
40.662514,-73.881516
40.655396,-73.92977
40.655582,-73.83899
40.83863,-73.93348
40.69286,-73.93198
40.66743,-73.76676
40.66579,-73.873886
40.57885,-73.97215
40.732407,-73.877785
40.83164,-73.930115
40.754208,-73.812225
40.706985,-73.95509
40.71918,-73.99029
40.85438,-73.86186
40.780857,-73.958824
40.58479,-74.0885
40.73878,-73.87062
40.67014,-73.87064
40.673767,-73.76381
40.90403,-73.90422
40.689228,-73.9847
40.774612,-73.92399
40.724888,-73.89899
40.843525,-73.89667
40.677326,-73.95821
40.700233,-73.95988
40.68221,-73.77257
40.617535,-73.94207
40.643215,-73.94935
40.71709,-73.82631
40.600426,-73.941895
40.882015,-73.8662
40.65733,-73.917274
40.748306,-73.87104
40.675735,-73.89686
40.877705,-73.90566
40.77242,-73.96287
40.8233,-73.88003
40.729084,-73.98133
40.704582,-73.78486
40.75045,-73.9873
40.68102,-73.75865
40.70676,-73.95044
40.673103,-73.92793
40.66097,-73.75011
40.720623,-73.99498
40.827473,-73.82313
40.68185,-73.8545
40.72034,-74.00223
40.87122,-73.85492
40.71047,-73.85092
40.740623,-73.95471
40.628395,-73.997795
40.59497,-73.76071
40.742283,-74.004425
40.65414,-73.88732
40.75588,-73.984474
40.57397,-74.16992
40.75834,-73.996414
40.765236,-73.93541
40.67689,-73.900055
40.67216,-73.98721
40.71445,-73.9306
40.66785,-73.92103
40.71445,-73.9306
40.706707,-74.002335
40.715187,-73.91106
40.754776,-73.892815
40.596024,-73.98178
40.803734,-73.95377
40.636913,-73.993744
40.865387,-73.893456
40.720642,-73.943275
40.748924,-73.937386
40.661964,-73.95705
40.68401,-73.85365
40.72706,-73.95695
40.78167,-73.83076
40.71702,-73.830505
40.834625,-73.84201
40.683346,-73.73477
40.654137,-73.91234
40.877796,-73.86806
40.74026,-73.990524
40.75987,-73.77116
40.743275,-73.77572
40.78739,-73.938225
40.69055,-73.83405
40.74772,-73.98682
40.766434,-73.83767
40.605167,-73.993034
40.699013,-73.82366
40.715256,-73.95212
40.59691,-74.19134
40.814632,-73.9442
40.612957,-73.95908
40.74432,-73.89494
40.751244,-73.99122
40.58794,-73.97429
40.75067,-73.99085
40.833588,-73.8615
40.76465,-73.823494
40.752605,-73.98575
40.817387,-73.92277
40.86241,-73.9225
40.770554,-73.83551
40.737465,-73.919846
40.804066,-73.93117
40.759514,-73.99926
40.668987,-73.95118
40.77231,-73.955826
40.777035,-73.9519
40.650337,-73.86849
40.707405,-73.92539
40.759624,-73.970085
40.70245,-74.012825
40.676567,-73.85763
40.642048,-74.07533
40.638966,-73.94251
40.83269,-73.86847
40.75673,-73.72152
40.658413,-74.00357
40.70045,-73.95805
40.663124,-73.96244
40.674633,-73.89365
40.819244,-73.86247
40.851032,-73.90173
40.652752,-73.88629
40.86544,-73.85579
40.703823,-73.8088
40.75226,-73.8324
40.845203,-73.88675
40.856537,-73.87257
40.79024,-73.97315
40.661125,-73.8947
40.61957,-73.93355
40.6462,-73.93175
40.701424,-73.94307
40.823257,-73.94293
40.71624,-74.00692
40.69706,-73.91933
40.725918,-73.89535
40.665115,-73.92931
40.666405,-73.802635
40.66895,-73.9339
40.64986,-74.01972
40.68576,-73.915504
40.899147,-73.85929
40.738472,-73.931984
40.67312,-73.878654
